finding_id,pos,cve,target,plugin_name,state,severity,exploit_available,cvss3_base_score,cvss_base_score,wiz_severity,description,location_path,wiz_first_found,wiz_last_found,wiz_last_fixed,resource_type,issue_id,comments_summary,ticket_key,port,signature_id,current_incident_uuid,exposure_url,results,wiz_component,wiz_technology,wiz_weighted_severity,exploitable,epssScore,riskRating,leanix_internet_exposed,SLA,cvssScore,Tier,first_found,last_found,last_fixed
059759d8-35c8-5a8f-ad26-01b1719f0128,,CVE-2022-1996,cny-prod-backend-server06,,Open,,False,,,CRITICAL,"The library `github.com/emicklei/go-restful` version `2.9.5+incompatible` was detected in `Golang binary` located at `/usr/bin/containerd` and is vulnerable to `CVE-2022-1996`, which exists in versions `<2.16.0`.

The vulnerability was found in the [The Go Vulnerability Database](https://nvd.nist.gov/vuln/detail/CVE-2022-1996) with vendor severity: `Critical` ([NVD](https://nvd.nist.gov/vuln/detail/CVE-2022-1996) severity: `Critical`).

This vulnerability has a known exploit available. Source: [VulnCheck](https://huntr.dev/bounties/be837427-415c-4d8c-808b-62ce20aa84f1).

This vulnerability cannot be remediated directly because `github.com/emicklei/go-restful` is installed as part of `containerd.io`. Please consider updating `containerd.io`.",/usr/bin/containerd,2026-01-06 10:07:58.323149,2026-01-16 09:13:53,,VIRTUAL_MACHINE,9eb8a6cb-6a59-48ab-9b89-13a718e4b5ef,,,,,,,,github.com/emicklei/go-restful,GO,,False,0.009000000000000001,High,True,30,9.1,Tier 1,2026-01-06 10:07:58.323149,2026-01-16 09:13:53,2026-01-16 09:13:53
0667c843-0e79-50be-8b6e-d81bd96628eb,,CVE-2022-1996,cny-prod-backend-server06,,Open,,False,,,CRITICAL,"The library `github.com/emicklei/go-restful/v3` version `3.7.3` was detected in `Golang binary` located at `/usr/bin/containerd` and is vulnerable to `CVE-2022-1996`, which exists in versions `>=3.0.0, <3.8.0`.

The vulnerability was found in the [The Go Vulnerability Database](https://nvd.nist.gov/vuln/detail/CVE-2022-1996) with vendor severity: `Critical` ([NVD](https://nvd.nist.gov/vuln/detail/CVE-2022-1996) severity: `Critical`).

This vulnerability has a known exploit available. Source: [VulnCheck](https://huntr.dev/bounties/be837427-415c-4d8c-808b-62ce20aa84f1).

This vulnerability cannot be remediated directly because `github.com/emicklei/go-restful/v3` is installed as part of `containerd.io`. Please consider updating `containerd.io`.",/usr/bin/containerd,2026-01-06 10:07:58.945246,2026-01-16 09:13:50,,VIRTUAL_MACHINE,9eb8a6cb-6a59-48ab-9b89-13a718e4b5ef,,,,,,,,github.com/emicklei/go-restful/v3,GO,,False,0.009000000000000001,High,True,30,9.1,Tier 1,2026-01-06 10:07:58.945246,2026-01-16 09:13:50,2026-01-16 09:13:50
